protein_hash,seq_len,n_res,n_present_atoms,n_chains,is_monomer,mean_plddt,ptm,blob_bytes
09b8bc34b2b51f7d7520108ee203144d,161,161,1293,1,True,0.8487669229507446,0.87725830078125,10559
09b8c476390668f50479723218b24854,161,161,1296,1,True,0.42979469895362854,0.24704687297344208,10547
09b8cbf237dbbd48366ca6b7af5c5c92,161,161,1246,1,True,0.3358231484889984,0.17087800800800323,10261
09b8d323812de09d051b2d8ff576bafc,161,161,1200,1,True,0.5477105379104614,0.3804791569709778,9766
09b8d91bf132ae6445bee617ae9db255,161,161,1310,1,True,0.3419249653816223,0.16711674630641937,10639
09b8dd3e9a79bfd0516fe89804f0843f,161,161,1298,1,True,0.8615787029266357,0.8838139176368713,10464
09b8e058a9637e4b8fb098edc68910c9,161,161,1261,1,True,0.34790605306625366,0.16070224344730377,10229
09b8e4249f247c74ef3c709b27fb1a69,161,161,1298,1,True,0.8229996562004089,0.7629801034927368,10475
09b8ea0b16b37208e3d4b2a8496c2247,161,161,1273,1,True,0.8147806525230408,0.6593194007873535,10269
09b8ebdcb608d4ce3e52349ba99e7a02,161,161,1225,1,True,0.6923040747642517,0.48326778411865234,10064
09b8eef5450d31f1568f47346e23a7d5,161,161,1261,1,True,0.4789569079875946,0.11053972691297531,10166
09b8efb25d63c8b1c9d7493ea22c1607,161,161,1244,1,True,0.8635553121566772,0.8558693528175354,10169
09b901896001ba40571441fe5f377e38,161,161,1285,1,True,0.3192390203475952,0.15560197830200195,10554
09b902070229df8f4ec81494d53de135,161,161,1304,1,True,0.4914746880531311,0.17818579077720642,10630
09b903537e06f1127a713633f87c4990,161,161,1189,1,True,0.7205934524536133,0.6803393959999084,9737
09b904aa2e99f8cfe848ed8d4c613490,161,161,1180,1,True,0.6581947207450867,0.42003756761550903,9551
09b91153ae23c2fe471c367b714e47fe,161,161,1137,1,True,0.7359181642532349,0.7027373313903809,9531
09b9122ce9b9bd3aa57af74196604450,161,161,1283,1,True,0.7007239460945129,0.5026979446411133,10524
09b919e20cd072c4a19767c669197e60,161,161,1237,1,True,0.3441978394985199,0.17817243933677673,10257
09b91e539dcb3dbde50740e91dbbc756,161,161,1196,1,True,0.69541996717453,0.5876205563545227,9857
09b923143d5af1ee3d708ebd34fd35ff,161,161,1242,1,True,0.8903428316116333,0.8970084190368652,10148
09b9236a9a638593cdc68fb124a931d5,161,161,1280,1,True,0.3601979911327362,0.2306528240442276,10522
09b923c611d30ae96f35c885dba96386,161,161,1267,1,True,0.3083899915218353,0.16760630905628204,10314
09b926837a997673e5f58cec7d4ad0f4,161,161,1246,1,True,0.6505151391029358,0.48421725630760193,10002
09b927ae3b20565d9994f0c898c1628f,161,161,1238,1,True,0.6635536551475525,0.6293347477912903,10290
09b92bc0234350d312007d4965c0dc7e,161,161,1207,1,True,0.8202582597732544,0.8334152698516846,9987
09b89fea35662cd068a5db36b5d695fd,162,162,1211,1,True,0.5973826050758362,0.4024675786495209,9838
09b8a35e4f3c61eee0cf0ac3db93d25f,162,162,1275,1,True,0.39659881591796875,0.1982237845659256,10532
09b8a515c554641a9f9fb5689cbfd06d,162,162,1197,1,True,0.4468229413032532,0.1706501692533493,9761
09b8a82ef076a3ef76ca541d4185b3c3,162,162,1298,1,True,0.6599948406219482,0.4961211681365967,10569
09b8bd006ae5157f7dce3516a988cd9f,162,162,1276,1,True,0.6275159120559692,0.6231287121772766,10579
09b8bd24cbef82320fc3310448e51dea,162,162,1287,1,True,0.7968113422393799,0.7543758749961853,10430
09b8c481efd761d0d7340de676792c73,162,162,1316,1,True,0.43009787797927856,0.20678137242794037,10688
09b8c8ae91f0d6947bc271cbd00fd775,162,162,1276,1,True,0.7042450308799744,0.5173182487487793,10178
09b8d9edc0487cbcf0f2e60feffe7010,162,162,1381,1,True,0.4987267255783081,0.19051143527030945,11142
09b8eba7c8edbc582879d690f60bb16f,162,162,1212,1,True,0.39014488458633423,0.28374984860420227,9963
09b9060d53d90c373600e4ce19e3bdcc,162,162,1266,1,True,0.8015172481536865,0.6782297492027283,10248
09b908ba875d6bab3f929acdf9fc282a,162,162,1212,1,True,0.45514655113220215,0.09597470611333847,9930
09b909948046997a7aef17b425ba1700,162,162,1337,1,True,0.87646484375,0.7433277368545532,10811
